,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1553,2,99,100,0,42.35104,-71.0697,2,27,1,1.0,0.9666666666666667,0.9833333333333333,0.9888888888888889,0.9205479452054794,4,4.75,4.75,5.0,5.0,4.5,5.0,4.25,1,301,2.3972602739726026,0,0,0,1,0,1,0,0,0.6034754768187215,0.5704455259152076
1555,7,80,41,0,42.31876,-71.05873,3,25,1,1.0,0.16666666666666666,0.23333333333333334,0.43333333333333335,0.8547945205479452,44,4.61,4.68,4.66,4.82,4.55,4.59,4.48,0,45,6.287671232876712,0,1,0,0,0,0,1,0,3.235940496918144,0.6706399146972288
1556,2,60,100,0,42.33119,-71.08168,1,26,91,3.0,0.0,0.0,0.0,0.5506849315068493,38,4.82,4.97,4.95,5.0,4.97,4.74,4.76,0,50,2.347945205479452,0,1,0,0,0,0,1,0,1.5797772724015513,1.0365494125137131
1560,5,85,97,0,42.33931,-71.15122,7,26,30,3.0,0.0,0.15,0.1,0.5780821917808219,1,5.0,3.0,5.0,3.0,4.0,5.0,4.0,1,123,11.484931506849316,0,1,0,0,1,0,0,0,4.368107563852925,4.609510180477726
1562,7,90,71,0,42.36632,-71.05411,2,24,29,1.0,0.13333333333333333,0.23333333333333334,0.4888888888888889,0.18082191780821918,61,4.9,4.97,4.97,4.93,4.98,4.95,4.74,0,214,2.8383561643835615,0,0,1,0,1,0,0,0,0.5525862064251422,0.5978390713345684
1563,4,50,100,0,42.33311,-71.03719,2,33,2,1.0,0.0,0.0,0.0,0.030136986301369864,2,3.0,5.0,4.5,5.0,5.0,5.0,2.5,1,200,4.36986301369863,0,1,0,0,1,0,0,0,2.2506677324658266,1.8135559558434289
1564,7,100,68,1,42.31691,-71.07405,4,37,3,3.0,0.3333333333333333,0.55,0.6444444444444445,0.8821917808219178,45,4.84,4.87,4.96,4.91,4.84,4.42,4.78,0,140,4.904109589041096,0,0,0,1,1,0,0,0,2.939047145181865,1.8260257112794827
1566,8,100,100,0,42.30063,-71.07781,2,39,91,1.0,0.0,0.0,0.0,0.7232876712328767,36,4.78,4.86,4.86,4.89,4.94,4.67,4.81,1,60,3.695890410958904,0,0,1,0,0,0,1,0,4.025063046588169,1.5049847205958846
1567,8,100,97,1,42.33785,-71.04725,2,33,1,1.0,0.06666666666666667,0.1,0.06666666666666667,0.01643835616438356,11,5.0,5.0,5.0,5.0,5.0,5.0,4.82,0,148,5.421917808219178,0,0,0,1,1,0,0,0,1.6187248891367445,1.2471136687545894
1572,7,100,100,1,42.28983,-71.06703,1,24,91,1.0,1.0,0.85,0.5666666666666667,0.2547945205479452,4,5.0,5.0,5.0,5.0,5.0,4.5,5.0,0,45,3.717808219178082,0,0,0,1,0,0,1,0,5.153841623935083,0.7164402788266696
1576,1,90,88,0,42.36009,-71.1278,2,14,29,1.0,0.1,0.55,0.7,0.4191780821917808,19,4.68,4.79,4.74,4.89,4.95,4.63,4.68,0,77,2.2465753424657535,0,0,0,1,0,0,1,0,2.1177590238833393,2.210995952143829
1577,4,75,67,0,42.27089,-71.07188,2,11,91,1.0,0.0,0.0,0.0,0.15616438356164383,5,4.5,4.75,4.5,5.0,5.0,5.0,5.0,1,55,2.7095890410958905,0,1,0,0,1,0,0,0,6.936828826460084,2.4195814158053373
1578,2,0,0,0,42.29302,-71.0669,6,29,91,2.0,1.0,1.0,1.0,0.2465753424657534,35,4.83,4.83,4.83,4.91,4.83,4.86,4.74,0,120,2.9835616438356163,1,0,0,0,1,0,0,0,4.866370053102969,0.706449414338411
1580,2,0,0,0,42.29461,-71.06739,8,17,91,3.0,0.0,0.0,0.3,0.32054794520547947,43,4.77,4.95,4.81,4.98,4.84,4.74,4.74,0,158,2.9835616438356163,1,0,0,0,1,0,0,0,4.713916184684405,0.7129581008138662
1581,4,81,80,0,42.32601,-71.11181,4,27,29,3.0,1.0,1.0,1.0,0.7397260273972602,13,4.38,4.54,4.38,4.62,4.54,4.69,4.15,0,545,3.6575342465753424,0,0,0,1,1,0,0,0,2.294296718584225,1.1769610252543246
1582,4,81,80,0,42.32603,-71.11056,4,28,29,3.0,1.0,1.0,1.0,0.7397260273972602,11,4.78,4.89,4.89,4.89,4.78,4.78,4.56,0,480,3.6575342465753424,0,0,0,1,1,0,0,0,2.2330223833584264,1.100018816377542
1583,4,100,99,0,42.36138,-71.13227,4,19,1,4.0,0.0,0.0,0.0,0.0,75,4.64,4.64,4.64,4.87,4.77,4.75,4.48,0,99,7.191780821917808,0,0,0,1,0,0,1,0,2.3409028204807156,2.352772942629674
1585,6,100,86,0,42.34737,-71.06874,1,18,2,1.0,0.8,0.75,0.5,0.12876712328767123,15,4.47,5.0,4.87,4.8,4.73,4.67,4.6,0,88,2.389041095890411,0,0,1,0,0,0,1,0,0.8326902564210433,0.5800915930572208
1586,6,100,86,0,42.34756,-71.0702,2,19,2,1.0,0.3333333333333333,0.6333333333333333,0.6555555555555556,0.16712328767123288,60,4.45,4.55,4.85,4.7,4.82,4.85,4.53,0,79,2.389041095890411,0,0,1,0,1,0,0,0,0.7288240629948483,0.5906656118586079
1587,4,100,99,0,42.35929,-71.13114,2,19,1,1.0,0.0,0.0,0.0,0.0,112,4.72,4.81,4.74,4.87,4.87,4.85,4.68,0,99,7.191780821917808,0,0,0,1,0,0,1,0,2.3370523198370137,2.4306332723253905
