,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
2650,-1.7032574798016076,0.2666336296171349,0.5082634240100042,0,0.8052404990470868,0.8795217815519866,-0.574171959203823,0.4456377209451102,-0.5317799868372431,-0.547072327863342,-0.31626866448778895,-0.20647651464914996,-0.2930877770346436,-0.20479035646160776,-0.5924728875723511,0.7678654016584375,0.3346435983985401,0.37829851919283863,0.4460113313922588,0.4707050567414725,0.6891111223661154,0.6361849175115062,1,0.022364300875175713,-1.228705595899121,0,0,0,1,1,0,0,0,-0.9953805774173751,-0.7927224373873295
2651,-1.7032574798016076,0.2666336296171349,0.5082634240100042,0,0.8099336228362932,0.8238335213755228,0.291792307136369,0.4456377209451102,-0.5317799868372431,0.15412873633301596,0.4168219891299776,0.4160544061683148,0.4295226826716142,-0.007093297262916116,-0.5231485990209552,-0.05370468727477097,-0.061275148485918356,0.32915650885526976,-0.32886921917506,-0.2108089968915111,0.49185759419197805,0.0864016306757309,1,1.5710221230168113,-1.228705595899121,0,0,0,1,1,0,0,0,-0.9891651168324352,-0.8426534427251313
2652,-1.7032574798016076,0.2666336296171349,0.5082634240100042,0,0.75830926115451,0.8896173140990922,0.724774440306465,0.4456377209451102,-0.5317799868372431,0.855329800529374,-0.8399048456433363,0.1566665224943712,0.016602419982324024,-0.18007822406177137,-0.3845000219181635,-0.8068106021302116,-0.8996913183588903,-0.5553996772209894,0.04521104661605853,0.18869924144506528,0.6891111223661154,-0.3259358344510996,1,1.3557007145907016,-1.228705595899121,0,0,0,1,1,0,0,0,-0.9436073095800388,-0.7367336096503901
2653,-1.7032574798016076,0.2666336296171349,0.5082634240100042,0,0.8102946323586583,0.8873376777173234,-0.574171959203823,0.5536869253206743,-0.5317799868372431,-0.547072327863342,-0.10681419202556992,0.3122992526987374,0.3607026388900661,0.009381457670308298,-0.5115945509290559,-0.30473999222658316,-0.014696472381863324,0.18173047784255883,0.09865108458621967,0.16519875683703186,0.49185759419197805,-0.4633816561600424,1,-0.03560684754723845,-1.228705595899121,0,0,0,1,1,0,0,0,-0.9991519226060578,-0.787332186917338
2654,2.177849347238588,0.336388019924556,0.5541893382436794,1,-0.7272449229061372,0.7127826633619887,0.291792307136369,1.8502773778274426,-0.5317799868372431,0.15412873633301596,-0.31626866448778895,-0.8290074354666147,-0.912468171068579,-0.007093297262916116,-0.41916216619386143,0.37990174855108955,0.5209583028147561,0.2554434933489143,0.4460113313922588,0.3767031183093367,0.3227831414712908,0.6132772805600161,0,-0.2012387001827075,-0.22653079197195178,0,0,0,1,1,0,0,0,0.5535042795481359,-0.4564977128207599
2655,-0.7329807730415588,0.336388019924556,0.6001152524773548,0,-2.059009050488017,-0.4569964626919352,2.889685106156945,2.2824741953296988,-0.48035196930563606,2.25773192892209,0.10264028043664901,0.3641768294335261,0.22306255132696928,0.9896293761971549,-0.6040269356642504,0.7678654016584375,0.2880649222944871,0.6731505812182583,-0.7029494849661785,0.14169827222899845,-1.7342893666304193,0.24675508933616586,1,1.7200907903887335,-1.4115283156222247,0,0,0,1,1,0,0,0,1.8889548173179156,1.1254500365434201
2656,1.6927109938585634,0.336388019924556,0.5082634240100042,0,0.1496472066402157,-2.244882710474693,-0.574171959203823,0.013440903442854112,-0.1717838641159933,-0.547072327863342,1.1499126427477437,-0.10272136117957252,-0.6027779740516114,-1.2509372947213517,-0.6733512242156462,0.7678654016584375,0.614115655022864,0.6731505812182583,0.4460113313922588,0.4707050567414725,0.6891111223661154,0.9110765609293938,1,-1.0956507044142403,1.277210007425931,0,0,0,1,0,0,1,0,0.9675201282021282,2.49664013168519
2659,1.6927109938585634,0.336388019924556,0.5082634240100042,0,0.11643433059314952,-2.3132718019198872,-0.574171959203823,0.6617361296962383,-0.1717838641159933,-0.547072327863342,0.521549225361087,-0.4139868215883048,-0.8092381053962565,-1.3003615595210247,-0.6733512242156462,0.7678654016584375,0.614115655022864,0.6731505812182583,-2.2259905671157365,0.4707050567414725,0.6891111223661154,0.9110765609293938,1,-0.9465820370423182,1.277210007425931,0,0,0,1,0,0,1,0,1.0558433179419209,2.603505535736095
2664,1.6927109938585634,0.336388019924556,0.5082634240100042,0,0.12293250199366804,-2.246511022175824,-0.574171959203823,0.013440903442854112,0.23964027613686373,-0.547072327863342,-0.8399048456433363,-1.0883953191405582,-1.256568389976321,-1.407447466586983,-0.6733512242156462,-1.5142737342671395,-1.7148181501798336,0.6731505812182583,-2.2259905671157365,0.4707050567414725,0.6891111223661154,0.9110765609293938,1,-0.9383004444105447,1.277210007425931,0,0,0,1,0,0,1,0,0.9789791303061749,2.5046613126265393
2667,0.7224342870985145,0.336388019924556,0.6001152524773548,1,-1.956843355691033,-1.1975526243417587,-0.141189826033727,0.013440903442854112,-0.48035196930563606,-0.547072327863342,-0.7351776094122269,-0.3621092448535161,0.25747257321774336,-1.045002858056048,-0.6386890799399483,-0.37320416630435105,-0.5503512475784847,0.6731505812182583,0.4460113313922588,0.4707050567414725,-1.4243195366424897,-0.23430528664513703,0,-0.7643869991433023,0.25684865022787706,0,0,0,1,1,0,0,0,1.9716424650199469,1.6077462160475866
