date,adjusted_price,date2,holiday_3_days,holiday,days_from_a_holiday,diff
2021-11-21,187.11768573307035,2021-11-21,True,Thanksgiving,4,15.218639366743474
2021-11-22,186.38231426692965,2021-11-22,True,Thanksgiving,3,14.483267900602783
2021-11-23,187.09631821170282,2021-11-23,True,Thanksgiving,2,15.197271845375951
2021-11-24,190.59730440499672,2021-11-24,True,Thanksgiving,1,18.69825803866985
2021-11-25,199.01939513477976,2021-11-25,True,Thanksgiving,0,27.120348768452885
2021-11-26,203.74161735700199,2021-11-26,True,Thanksgiving,-1,31.842570990675114
2021-11-27,205.23668639053255,2021-11-27,True,Thanksgiving,-2,33.33764002420568
2021-11-28,186.03977646285338,2021-11-28,True,Thanksgiving,-3,14.14073009652651
2021-11-29,184.87639710716633,2021-11-29,True,Thanksgiving,-4,12.977350740839455
2021-12-20,183.5887573964497,2021-12-20,True,Christmas Day (Observed),4,11.689711030122822
2021-12-21,183.60355029585799,2021-12-21,True,Christmas Day,4,11.704503929531114
2021-12-22,184.09204470742932,2021-12-22,True,Christmas Day,3,12.192998341102452
2021-12-23,185.82642998027615,2021-12-23,True,Christmas Day,2,13.927383613949274
2021-12-24,202.76528599605524,2021-12-24,True,Christmas Day,1,30.86623962972837
2021-12-25,205.51249178172256,2021-12-25,True,Christmas Day,0,33.61344541539569
2021-12-26,195.27218934911244,2021-12-26,True,Christmas Day,-1,23.373142982785566
2021-12-27,194.27284681130834,2021-12-27,True,New Year's Day (Observed),4,22.37380044498147
2021-12-28,194.82642998027615,2021-12-28,True,New Year's Day (Observed),3,22.927383613949274
2021-12-29,195.353385930309,2021-12-29,True,New Year's Day (Observed),2,23.45433956398213
2021-12-30,203.8491124260355,2021-12-30,True,New Year's Day (Observed),1,31.950066059708632
2021-12-31,212.21860618014463,2021-12-31,True,New Year's Day (Observed),0,40.31955981381776
2022-01-01,212.53583168967785,2022-01-01,True,New Year's Day (Observed),-1,40.63678532335098
2022-01-02,184.93228139381986,2022-01-02,True,New Year's Day (Observed),-2,13.033235027492992
2022-01-03,184.27514792899407,2022-01-03,True,New Year's Day (Observed),-3,12.376101562667202
2022-01-04,182.83727810650888,2022-01-04,True,New Year's Day (Observed),-4,10.938231740182005
2022-01-05,182.75410913872452,2022-01-05,True,New Year's Day,-4,10.855062772397645
2022-01-13,183.12126191258628,2022-01-13,True,Martin Luther King Jr. Day,4,11.222215546259406
2022-01-14,190.45612882024318,2022-01-14,True,Martin Luther King Jr. Day,3,18.55708245391631
2022-01-15,191.23759447913244,2022-01-15,True,Martin Luther King Jr. Day,2,19.33854811280557
2022-01-16,184.27242852448242,2022-01-16,True,Martin Luther King Jr. Day,1,12.37338215815555
2022-01-17,182.31120604666447,2022-01-17,True,Martin Luther King Jr. Day,0,10.412159680337595
2022-01-18,182.13342096615182,2022-01-18,True,Martin Luther King Jr. Day,-1,10.234374599824946
2022-01-19,182.33256654617153,2022-01-19,True,Martin Luther King Jr. Day,-2,10.433520179844663
2022-01-20,183.00361485376274,2022-01-20,True,Martin Luther King Jr. Day,-3,11.10456848743587
